Name;Rarity;Gender;Faction;Class;HP;ATK;DEF;RES;DP Cost;Block;Event;EN_Release;Limited;Birthday
Elysium;5;Male;Rhodes Island;Vanguard Standard Bearer;1669;533;335;0;11;1;1st Anniversary Celebration;12/30/2020;;May 8th
THRM-EX;1;Male;Rhodes Island;Specialist Executor;1443;260;443;50;3;0;1st Anniversary Celebration;12/30/2020;;February 15th
Phantom;6;Male;Victoria;Specialist Executor;1645;558;322;0;10;1;Darknights Memoir;12/10/2020;;January 19th
Sideroca;5;Female;Minos;Guard Arts Fighter;2845;620;369;15;23;1;Darknights Memoir;12/10/2020;;March 17th
Shamare;5;Female;Siracusa;Supporter Hexer;1728;408;105;25;12;1;Darknights Memoir;12/10/2020;;October 29th
Cutter;4;Female;Columbia;Guard Swordmaster;2320;571;325;0;21;2;Darknights Memoir;12/10/2020;;May 2nd
Chiave;5;Male;Chiave's Gang;Vanguard Pioneer;1824;522;342;0;13;2;Grani and the Knights' Treasure/Rerun;11/26/2020;;September 9th
Beeswax;5;Female;Sargon;Caster Phalanx;2005;735;205;15;23;1;Grani and the Knights' Treasure/Rerun;11/26/2020;;September 15th
Suzuran;6;Female;Siracusa;Supporter Decel Binder;1480;521;128;25;16;1;Twilight of Wolumonde;10/28/2020;;October 9th
Folinic;5;Female;Rhodes Island;Medic Medic;1585;479;133;0;21;1;Twilight of Wolumonde;10/28/2020;;August 18th
Ayerscarpe;5;Male;Rim Billiton;Guard Lord;2420;670;375;10;19;2;Twilight of Wolumonde;10/28/2020;;October 25th
Click;4;Female;Rhodes Island;Caster Mech-Accord;1440;315;120;20;20;1;Twilight of Wolumonde;10/28/2020;;09-May
Rosa;6;Female;Ursus Student Self-Governing Group;Sniper Besieger;1755;1032;122;0;24;1;Children of Ursus;9/29/2020;;October 31st
Leonhardt;5;Male;Rim Billiton;Caster Splash;1637;773;120;20;33;1;Children of Ursus;9/29/2020;;August 13th
Absinthe;5;Female;Ursus;Caster Core;1420;633;124;20;22;1;Children of Ursus;9/29/2020;;November 10th
Podenco;4;Female;Rhodes Island;Supporter Decel Binder;1163;492;96;20;14;1;Children of Ursus;9/29/2020;;March 25th
Ceobe;6;Female;Rhodes Island;Caster Core;1565;667;128;20;21;1;Stories of Afternoon;8/26/2020;;March 3rd
Leizi;5;Female;Yan;Caster Chain;1443;635;119;20;32;1;Stories of Afternoon;8/26/2020;;March 5th
Nian;6;Female;Sui;Defender Protector;3699;619;726;0;23;3;Ancient Forge;7/29/2020;Limited;September 9th
Aak;6;Male;Lee's Detective Agency;Specialist Geek;2034;703;152;10;13;1;Ancient Forge;7/29/2020;;March 25th
Snowsant;5;Female;Lungmen;Specialist Hookmaster;1835;745;355;0;15;2;Ancient Forge;7/29/2020;;October 17th
Hung;5;Male;Lee's Detective Agency;Defender Guardian;2823;442;585;10;21;3;Ancient Forge;7/29/2020;;July 1st
Blaze;6;Female;Elite Op;Guard Centurion;2821;765;370;0;24;3;Partial Necrosis;6/30/2020;;Undisclosed
GreyThroat;5;Female;Rhodes Island;Sniper Marksman;1493;513;152;0;13;1;Partial Necrosis;6/30/2020;;November 14th
Ambriel;4;Female;Laterano;Sniper Deadeye;1595;977;122;0;20;1;Partial Necrosis;6/30/2020;;January 13th
Mostima;6;Female;Laterano;Caster Splash;1831;834;132;20;34;1;Code of Brawl;5/27/2020;;December 12th
Waai Fu;5;Female;Lee's Detective Agency;Specialist Executor;1455;536;304;0;9;1;Code of Brawl;5/27/2020;;December 1st
Bison;5;Male;Lungmen;Defender Protector;3456;375;701;0;24;3;Code of Brawl;5/27/2020;;October 15th
May;4;Female;Victoria;Sniper Marksman;1632;478;105;0;12;1;Code of Brawl;5/27/2020;;May 1st
Schwarz;6;Female;Siesta;Sniper Heavyshooter;1833;840;225;0;20;1;Heart of Surging Flame;4/15/2020;;Individual exhibits memory loss regarding this information
Hellagur;6;Male;Ursus;Guard Soloblade;3825;762;334;0;26;1;Heart of Surging Flame;4/15/2020;;May 5th
Ceylon;5;Female;Siesta;Medic Therapist;1455;468;126;10;22;1;Heart of Surging Flame;4/15/2020;;September 25th
Glaucus;5;Female;Iberia;Supporter Decel Binder;1267;505;100;20;15;1;Heart of Surging Flame;4/15/2020;;July 27th
Sussurro;4;Female;Rhodes Island;Medic Medic;1345;488;122;0;18;1;Heart of Surging Flame;4/15/2020;;September 4th
Magallan;6;Female;Rhine Lab;Supporter Summoner;1103;469;140;20;12;1;Operational Intelligence;3/25/2020;;October 17th
Flamebringer;5;Male;Rhodes Island;Guard Dreadnought;3907;918;195;0;20;1;Operational Intelligence;3/25/2020;;December 25th
Executor;5;Male;Laterano;Sniper Spreadshooter;2330;720;185;0;31;1;Operational Intelligence;3/25/2020;;July 7th
Vermeil;4;Female;Siracusa;Sniper Marksman;1230;485;162;0;12;1;Operational Intelligence;3/25/2020;;June 25th
Ch'en;6;Female;Lungmen Guard Department;Guard Swordmaster;2880;610;352;0;23;2;Necessary Solutions;2/26/2020;;July 7th
Swire;5;Female;Lungmen Guard Department;Guard Instructor;1914;656;413;0;16;2;Necessary Solutions;2/26/2020;;July 1st
Greyy;4;Male;Bolivar;Caster Splash;1537;699;130;20;32;1;Necessary Solutions;2/26/2020;;June 6th
Spot;3;Male;Op Reserve A6;Defender Guardian;1833;320;442;10;17;3;Necessary Solutions;2/26/2020;;April 30th
Skadi;6;Female;Abyssal Hunters;Guard Dreadnought;3866;1016;263;0;19;1;Grani and the Knights' Treasure;02/05/2020;;March 7th
Grani;5;Female;Victoria;Vanguard Charger;2235;552;367;0;14;1;Grani and the Knights' Treasure;02/05/2020;;December 1st
Nightmare;5;Female;Victoria;Caster Core;1510;622;120;20;20;1;Grani and the Knights' Treasure;02/05/2020;;June 1st
Beehunter;4;Female;Ursus;Guard Fighter;2435;513;312;0;9;1;Grani and the Knights' Treasure;02/05/2020;;October 2nd
Midnight;3;Male;Op Reserve A6;Guard Lord;1653;497;282;10;16;2;Grani and the Knights' Treasure;02/05/2020;;May 20th
Saria;6;Female;Rhine Lab;Defender Guardian;3150;485;595;10;22;3;Opening Event;1/16/2020;;April 23rd
SilverAsh;6;Male;Karlan Trade;Guard Lord;2560;713;397;10;20;2;Opening Event;1/16/2020;;February 15th
Hoshiguma;6;Female;Lungmen Guard Department;Defender Protector;3850;430;723;0;23;3;Opening Event;1/16/2020;;January 20th
Ifrit;6;Female;Rhine Lab;Caster Blast;1680;870;130;20;34;1;Opening Event;1/16/2020;;July 22nd
Shining;6;Female;Followers;Medic Medic;1613;530;138;0;20;1;Opening Event;1/16/2020;;October 7th
Eyjafjalla;6;Female;Leithanien;Caster Core;1743;645;122;20;21;1;Opening Event;1/16/2020;;October 18th
Nightingale;6;Female;Followers;Medic Multi-target;1705;350;169;5;18;1;Opening Event;1/16/2020;;May 4th
Exusiai;6;Female;Penguin Logistics;Sniper Marksman;1673;540;161;0;14;1;Opening Event;1/16/2020;;December 24th
Siege;6;Female;Glasgow;Vanguard Pioneer;2251;515;384;0;14;2;Opening Event;1/16/2020;;July 10th
Angelina;6;Female;Siracusa;Supporter Decel Binder;1385;542;120;25;16;1;Opening Event;1/16/2020;;May 14th
Silence;5;Female;Rhine Lab;Medic Medic;1595;482;142;0;19;1;Opening Event;1/16/2020;;May 18th
Blue Poison;5;Female;Iberia;Sniper Marksman;1230;535;130;5;13;1;Opening Event;1/16/2020;;January 18th
Ptilopsis;5;Female;Rhine Lab;Medic Multi-target;1610;335;150;0;17;1;Opening Event;1/16/2020;;October 6th
Specter;5;Female;Abyssal Hunters;Guard Centurion;2630;725;355;0;23;3;Opening Event;1/16/2020;;July 27th
Nearl;5;Female;Followers;Defender Guardian;2780;462;575;10;21;3;Opening Event;1/16/2020;;April 23rd
Vulcan;5;Female;Minos;Defender Juggernaut;3688;820;585;10;35;3;Opening Event;1/16/2020;;April 30th
Cliffheart;5;Female;Karlan Trade;Specialist Hookmaster;1970;765;340;0;13;2;Opening Event;1/16/2020;;November 28th
Meteorite;5;Female;Rhodes Island;Sniper Artilleryman;1505;865;116;0;28;1;Opening Event;1/16/2020;;August 30th
Indra;5;Female;Glasgow;Guard Fighter;2565;530;350;0;10;1;Opening Event;1/16/2020;;April 15th
Warfarin;5;Female;Rhodes Island;Medic Medic;1520;505;125;0;19;1;Opening Event;1/16/2020;;June 27th
Istina;5;Female;Ursus Student Self-Governing Group;Supporter Decel Binder;1280;518;104;20;15;1;Opening Event;1/16/2020;;September 22nd
Lappland;5;Female;Siracusa;Guard Lord;2350;685;365;15;19;2;Opening Event;1/16/2020;;November 11th
Texas;5;Female;Penguin Logistics;Vanguard Pioneer;1950;500;343;0;13;2;Opening Event;1/16/2020;;June 1st
Liskarm;5;Female;Blacksteel;Defender Sentry Protector;3240;425;710;0;22;3;Opening Event;1/16/2020;;May 18th
Manticore;5;Female;Sargon;Specialist Ambusher;1630;811;343;30;20;0;Opening Event;1/16/2020;;Unknown
Mayer;5;Female;Rhine Lab;Supporter Summoner;1068;443;130;20;11;1;Opening Event;1/16/2020;;November 20th
Amiya;5;Female;Rhodes Island;Caster Core;1480;618;121;20;20;1;Opening Event;1/16/2020;;December 23rd
Croissant;5;Female;Penguin Logistics;Defender Protector;3520;380;710;0;22;3;Opening Event;1/16/2020;;September 29th
Zima;5;Female;Ursus Student Self-Governing Group;Vanguard Pioneer;2150;470;350;0;13;2;Opening Event;1/16/2020;;July 29th
Sora;5;Female;Penguin Logistics;Supporter Bard;1356;335;328;0;7;1;Opening Event;1/16/2020;;September 12th
Skyfire;5;Female;Victoria;Caster Splash;1620;784;122;20;33;1;Opening Event;1/16/2020;;June 1st
Savage;5;Female;Rim Billiton;Guard Centurion;2430;705;320;0;22;3;Opening Event;1/16/2020;;June 30th
Platinum;5;Female;Kazimierz;Sniper Marksman;1550;505;165;0;13;1;Opening Event;1/16/2020;;February 13th
Pramanix;5;Female;Karlan Trade;Supporter Hexer;1605;430;102;25;12;1;Opening Event;1/16/2020;;February 13th
Projekt Red;5;Female;S.W.E.E.P.;Specialist Executor;1505;530;302;0;9;1;Opening Event;1/16/2020;;August 25th
Provence;5;Female;Siracusa;Sniper Heavyshooter;1680;781;215;0;19;1;Opening Event;1/16/2020;;November 30th
Franka;5;Female;Blacksteel;Guard Dreadnought;3768;936;235;0;18;2;Opening Event;1/16/2020;;October 30th
FEater;5;Female;Lungmen;Specialist Push Stroker;1845;640;382;0;20;2;Opening Event;1/16/2020;;August 10th
Firewatch;5;Female;Rhodes Island;Sniper Deadeye;1450;1085;131;0;21;1;Opening Event;1/16/2020;;Unknown
Shirayuki;4;Female;Higashi;Sniper Artilleryman;1630;797;100;0;27;1;Opening Event;1/16/2020;;July 20th
Estelle;4;Female;Sargon;Guard Centurion;2500;690;315;0;22;3;Opening Event;1/16/2020;;February 14th
Matterhorn;4;Male;Karlan Trade;Defender Protector;3235;375;670;5;21;3;Opening Event;1/16/2020;;May 19th
Meteor;4;Female;Kazimierz;Sniper Marksman;1370;465;165;0;12;1;Opening Event;1/16/2020;;May 1st
Dobermann;4;Female;Rhodes Island;Guard Instructor;2024;602;382;0;15;2;Opening Event;1/16/2020;;May 27th
Mousse;4;Female;Victoria;Guard Arts Fighter;2345;644;357;15;20;1;Opening Event;1/16/2020;;August 19th
Matoimaru;4;Female;Higashi;Guard Dreadnought;3640;916;156;0;17;1;Opening Event;1/16/2020;;January 3rd
Myrrh;4;Female;Rhodes Island;Medic Medic;1420;465;131;0;18;1;Opening Event;1/16/2020;;May 5th
Vigna;4;Female;Columbia;Vanguard Charger;1845;558;351;0;11;1;Opening Event;1/16/2020;;December 12th
Perfumer;4;Female;Rhodes Island;Medic Multi-target;1560;320;145;0;16;1;Opening Event;1/16/2020;;January 30th
Courier;4;Male;Karlan Trade;Vanguard Pioneer;1985;435;322;0;12;2;Opening Event;1/16/2020;;March 5th
Jessica;4;Female;Blacksteel;Sniper Marksman;1320;475;154;0;12;1;Opening Event;1/16/2020;;March 3rd
Scavenger;4;Female;S.W.E.E.P.;Vanguard Pioneer;1835;470;310;0;12;2;Opening Event;1/16/2020;;August 22nd
Earthspirit;4;Female;Leithanien;Supporter Decel Binder;1205;480;101;20;14;1;Opening Event;1/16/2020;;April 5th
Rope;4;Female;Lungmen;Specialist Hookmaster;1720;728;325;0;12;2;Opening Event;1/16/2020;;April 4th
Haze;4;Female;Victoria;Caster Core;1420;583;110;20;19;1;Opening Event;1/16/2020;;January 2nd
Deepcolor;4;Female;Aegir;Supporter Summoner;1050;403;125;15;10;1;Opening Event;1/16/2020;;June 12th
Cuora;4;Female;Columbia;Defender Protector;3105;365;690;0;21;3;Opening Event;1/16/2020;;Undisclosed
Shaw;4;Female;Lungmen;Specialist Push Stroker;1785;580;365;0;19;2;Opening Event;1/16/2020;;January 5th
Gitano;4;Female;Sami;Caster Splash;1598;715;118;20;32;1;Opening Event;1/16/2020;;January 15th
Gravel;4;Female;Kazimierz;Specialist Executor;1420;452;335;0;8;1;Opening Event;1/16/2020;;January 20th
Gummy;4;Female;Ursus Student Self-Governing Group;Defender Guardian;2550;435;562;10;20;3;Opening Event;1/16/2020;;October 2nd
Frostleaf;4;Female;Rhodes Island;Guard Lord;2260;660;323;10;18;2;Opening Event;1/16/2020;;May 1st
Gavial;4;Female;Rhodes Island;Medic Medic;1580;450;152;0;18;1;Opening Event;1/16/2020;;May 1st
Hibiscus;3;Female;Op Reserve A1;Medic Medic;1220;345;110;0;17;1;Opening Event;1/16/2020;;June 21st
Popukar;3;Female;Op Reserve A6;Guard Centurion;1858;495;245;0;19;2;Opening Event;1/16/2020;;July 2nd
Beagle;3;Female;Op Reserve A1;Defender Protector;2035;295;490;0;18;3;Opening Event;1/16/2020;;March 2nd
Adnachiel;3;Male;Op Reserve A4;Sniper Marksman;1080;365;134;0;11;1;Opening Event;1/16/2020;;May 30th
Steward;3;Male;Op Reserve A4;Caster Core;1100;470;90;15;18;1;Opening Event;1/16/2020;;December 24th
Plume;3;Female;Laterano;Vanguard Charger;1226;445;279;0;10;1;Opening Event;1/16/2020;;October 28th
Vanilla;3;Female;Blacksteel;Vanguard Pioneer;1270;355;240;0;11;2;Opening Event;1/16/2020;;February 16th
Orchid;3;Female;Op Reserve A6;Supporter Decel Binder;935;378;83;0;12;1;Opening Event;1/16/2020;;January 15th
Cardigan;3;Female;Op Reserve A4;Defender Protector;2130;305;475;0;18;3;Opening Event;1/16/2020;;August 2nd
Kroos;3;Female;Op Reserve A1;Sniper Marksman;1060;375;126;0;11;1;Opening Event;1/16/2020;;November 22nd
Lava;3;Female;Op Reserve A1;Caster Splash;1141;582;95;15;30;1;Opening Event;1/16/2020;;June 22nd
Ansel;3;Male;Op Reserve A4;Medic Medic;1135;362;109;0;17;1;Opening Event;1/16/2020;;January 31st
Fang;3;Female;Op Reserve A1;Vanguard Pioneer;1325;325;260;0;11;2;Opening Event;1/16/2020;;December 2nd
Melantha;3;Female;Op Reserve A4;Guard Dreadnought;2745;738;155;0;15;1;Opening Event;1/16/2020;;March 19th
Rangers;2;Male;Op A4;Sniper Marksman;780;269;66;0;7;1;Opening Event;1/16/2020;;July 22nd
Yato;2;Female;Op A4;Vanguard Pioneer;1030;232;192;0;7;2;Opening Event;1/16/2020;;May 14th
12F;2;Male;Rhodes Island;Caster Splash;1461;432;50;10;24;1;Opening Event;1/16/2020;;March 3rd
Durin;2;Female;Op A4;Caster Core;952;340;62;10;12;1;Opening Event;1/16/2020;;December 15th
Noir Corne;2;Male;Op A4;Defender Protector;1670;240;315;0;14;3;Opening Event;1/16/2020;;August 30th
Castle-3;1;Male;Rhodes Island;Guard Dreadnought;1191;353;90;0;3;1;Opening Event;1/16/2020;;December 10th
Lancet-2;1;Female;Rhodes Island;Medic Medic;435;70;27;0;3;1;Opening Event;1/16/2020;;May 12th
Bagpipe;6;Female;Victoria;Vanguard Charger;2484;586;382;0;13;1;Contingency Contract Barrenland;;;July 17th
Highmore;5;Female;Iberia;Guard Reaper;2120;670;454;0;22;2;Mizuki & Caerula Arbor;;;August 23rd
Bibeak;5;Female;Sami;Guard Swordmaster;2550;602;332;0;22;2;Contingency Contract Barrenland;;;December 12th
Valarqvin;5;Female;Sami;Supporter Ritualist;1097;447;101;15;15;1;Expeditioner's Joklumarkar;;;No exact date provided
Erato;5;Female;Minos;Sniper Besieger;1648;957;125;0;23;1;Contingency Contract Deepness;;;March 14th
Tin Man;5;Male;Columbia;Specialist Alchemist;1114;469;99;30;17;1;Sarkaz's Furnaceside Fables;;;Undisclosed
Broca;5;Male;Chiave's Gang;Guard Centurion;2335;762;366;0;23;3;;;;February 4th
Sesa;5;Male;Sargon;Sniper Artilleryman;1655;833;123;0;28;1;Contingency Contract Barrenland;;;April 22nd
Tuye;5;Female;Sargon;Medic Medic;1550;493;135;0;21;1;Contingency Contract Lead Seal;;;April 15th
Asbestos;5;Female;Rim Billiton;Defender Arts Protector;3135;633;555;15;25;3;Contingency Contract Pyrite;;;July 30th
Kestrel;5;Female;Sargon;Vanguard Pioneer;1960;514;342;0;13;2;Tales Within the Sand;;;Reported as Unknown
Scene;5;Female;Sargon;Supporter Summoner;1105;432;155;20;11;1;Contingency Contract Blade;;;December 31st
Reed;5;Female;Victoria;Vanguard Charger;2215;562;364;0;12;1;;;;October 16th
Shalem;5;Male;Victoria;Defender Arts Protector;3090;649;550;15;25;3;Phantom & Crimson Solitaire;;;December 9th
Tsukinogi;5;Female;Higashi;Supporter Abjurer;1620;385;175;25;12;1;Contingency Contract Pyrite;;;May 3rd
Astesia;5;Female;Columbia;Guard Arts Fighter;2523;660;393;15;21;1;;;;July 10th
Breeze;5;Female;Victoria;Medic Multi-target;1595;343;153;0;17;1;;;;June 24th
Conviction;4;Conviction;Minos;Guard Dreadnought;3483;929;166;0;16;1;April Fools;;;Unknown
Dur-nar;4;Female;Rhodes Island;Defender Arts Protector;3007;583;548;15;24;3;;;;August 11th
Ethan;4;Male;Rhodes Island;Specialist Ambusher;1530;742;337;30;19;0;;;;January 29th
Utage;4;Female;Higashi;Guard Soloblade;3444;693;312;0;24;1;Contingency Contract Barrenland;;;April 4th
Myrtle;4;Female;Rhodes Island;Vanguard Standard Bearer;1565;520;300;0;10;1;;;;December 13th
Catapult;3;Female;Op Reserve A6;Sniper Artilleryman;1150;617;85;0;23;1;;;;August 8th
U-Official;1;Female;Rhodes Island;Supporter Bard;385;102;28;0;3;1;The Ultimate Beautiful Girl;;;January 4th
